Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
"SCI-Other Life, Physical, And Social Science Technicians",2732,1017,0,142,314,158,0,42,0,206,81,74,0,0,0,1715,162,491,0,0,0,251,537,274,0,0,0,0,0
SCI-Occupational Health And Safety Specialists and Technicians,231,97,0,0,0,0,0,0,0,0,0,0,0,97,0,134,0,0,0,0,0,0,0,0,0,134,0,0,0
CMS-Substance Abuse And Behavioral Disorder Counselors,135,59,0,0,0,0,0,0,0,0,0,0,59,0,0,76,0,0,0,0,0,0,0,0,0,76,0,0,0
"CMS-Educational, Guidance, And Career Counselors And Advisors",2271,103,0,100,0,0,3,0,0,0,0,0,0,0,0,2168,0,0,0,0,0,256,0,376,40,688,0,108,700
CMS-Marriage And Family Therapists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS-Mental Health Counselors,364,190,0,0,0,0,0,0,0,0,190,0,0,0,0,174,0,0,0,0,0,0,0,0,97,0,0,77,0
CMS-Rehabilitation Counselors,288,96,0,0,0,0,0,0,0,0,0,96,0,0,0,192,0,0,0,0,0,0,0,0,0,192,0,0,0
"CMS-Counselors, All Other",2343,448,87,0,0,0,0,0,173,0,0,0,0,188,0,1895,68,0,337,147,0,0,41,0,0,0,574,0,728
"CMS-Child, Family, And School Social Workers",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,117,0,0
CMS-Healthcare Social Workers,677,110,0,0,0,0,0,0,32,0,0,0,78,0,0,567,0,0,0,0,0,0,218,53,0,0,0,0,296
CMS-Mental Health And Substance Abuse Social Workers,93,93,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMS-Social Workers, All Other",2554,480,0,0,0,139,0,0,0,180,161,0,0,0,0,2074,0,0,0,119,0,169,0,234,791,327,0,373,61
CMS-Probation Officers And Correctional Treatment Specialists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMS-Social And Human Service Assistants,1265,104,0,0,0,0,0,0,0,0,0,0,0,0,104,1161,78,0,186,0,396,95,0,0,0,88,0,0,318
CMS-Other Community and Social Service Specialists,336,147,0,0,0,0,0,0,0,0,147,0,0,0,0,189,0,0,0,0,0,0,0,82,0,0,107,0,0
CMS-Clergy,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMS-Directors, Religious Activities And Education",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMS-Religious Workers, All Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",1720,291,0,0,0,0,0,0,0,0,124,0,80,0,87,1429,0,0,0,0,0,0,0,0,53,463,365,0,548
LGL-Judicial Law Clerks,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,104,0,0,0
LGL-Paralegals And Legal Assistants,1512,140,0,0,0,0,0,0,0,0,0,0,0,53,87,1372,0,0,53,49,212,519,0,0,0,283,159,97,0
"LGL-Title Examiners, Abstractors, and Searchers",207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,207
"LGL-Legal Support Workers, All Other",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,55,0
EDU-Postsecondary Teachers,6359,3194,0,0,599,341,0,519,318,537,85,70,195,387,143,3165,54,158,0,91,577,454,281,186,367,286,203,345,163
EDU-Preschool And Kindergarten Teachers,3872,319,0,0,0,0,0,186,0,0,0,77,0,56,0,3553,508,0,409,134,0,361,80,222,202,0,84,871,682
