Gender,Age,Occupation,Population
Male,23.0,MGR-Industrial Production Managers,0.0
Male,24.0,MGR-Industrial Production Managers,0.0
Male,25.0,MGR-Industrial Production Managers,0.0
Male,26.0,MGR-Industrial Production Managers,63.0
Male,27.0,MGR-Industrial Production Managers,64.0
Male,28.0,MGR-Industrial Production Managers,122.0
Male,29.0,MGR-Industrial Production Managers,0.0
Male,30.0,MGR-Industrial Production Managers,0.0
Female,18.0,MGR-Industrial Production Managers,0.0
Female,19.0,MGR-Industrial Production Managers,0.0
Female,20.0,MGR-Industrial Production Managers,0.0
Female,21.0,MGR-Industrial Production Managers,0.0
Female,22.0,MGR-Industrial Production Managers,0.0
Female,23.0,MGR-Industrial Production Managers,0.0
Female,24.0,MGR-Industrial Production Managers,0.0
Female,25.0,MGR-Industrial Production Managers,0.0
Female,26.0,MGR-Industrial Production Managers,0.0
Female,27.0,MGR-Industrial Production Managers,0.0
Female,28.0,MGR-Industrial Production Managers,0.0
Female,29.0,MGR-Industrial Production Managers,0.0
Female,30.0,MGR-Industrial Production Managers,0.0
Male,18.0,MGR-Purchasing Managers,0.0
Male,19.0,MGR-Purchasing Managers,0.0
Male,20.0,MGR-Purchasing Managers,0.0
Male,21.0,MGR-Purchasing Managers,0.0
Male,22.0,MGR-Purchasing Managers,0.0
Male,23.0,MGR-Purchasing Managers,0.0
Male,24.0,MGR-Purchasing Managers,0.0
Male,25.0,MGR-Purchasing Managers,304.0
Male,26.0,MGR-Purchasing Managers,106.0
Male,27.0,MGR-Purchasing Managers,0.0
Male,28.0,MGR-Purchasing Managers,0.0
Male,29.0,MGR-Purchasing Managers,0.0
Male,30.0,MGR-Purchasing Managers,63.0
Female,18.0,MGR-Purchasing Managers,0.0
Female,19.0,MGR-Purchasing Managers,0.0
Female,20.0,MGR-Purchasing Managers,0.0
Female,21.0,MGR-Purchasing Managers,0.0
Female,22.0,MGR-Purchasing Managers,0.0
Female,23.0,MGR-Purchasing Managers,0.0
Female,24.0,MGR-Purchasing Managers,0.0
Female,25.0,MGR-Purchasing Managers,0.0
Female,26.0,MGR-Purchasing Managers,0.0
Female,27.0,MGR-Purchasing Managers,0.0
Female,28.0,MGR-Purchasing Managers,0.0
Female,29.0,MGR-Purchasing Managers,0.0
Female,30.0,MGR-Purchasing Managers,0.0
Male,18.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,19.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,20.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,21.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,22.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,23.0,"MGR-Transportation, Storage, And Distribution Managers",34.0
Male,24.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,25.0,"MGR-Transportation, Storage, And Distribution Managers",337.0
Male,26.0,"MGR-Transportation, Storage, And Distribution Managers",109.0
Male,27.0,"MGR-Transportation, Storage, And Distribution Managers",184.0
Male,28.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Male,29.0,"MGR-Transportation, Storage, And Distribution Managers",115.0
Male,30.0,"MGR-Transportation, Storage, And Distribution Managers",117.0
Female,18.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,19.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,20.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,21.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,22.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,23.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,24.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,25.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,26.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
Female,27.0,"MGR-Transportation, Storage, And Distribution Managers",0.0
